titleId	title	region	language	types	attributes	isOriginalTitle
tt0000410	Star Theatre	US	\N	\N	copyright title	0
tt0000410	Demolishing and Building Up the Star Theatre	US	\N	imdbDisplay	\N	0
tt0000412	The Troublesome Fly	US	\N	imdbDisplay	\N	0
tt0000413	Mephistopheles' School of Magic	US	\N	\N	\N	0
tt0000413	The Treasures of Satan	US	\N	\N	\N	0
tt0000413	The Devil's Money Bags	US	\N	\N	\N	0
tt0000414	Uncle Josh at the Moving Picture Show	US	\N	imdbDisplay	\N	0
tt0000416	Alcohol and Its Victims	US	\N	\N	\N	0
tt0000417	A Trip to Mars	US	\N	\N	copyright title	0
tt0000417	A Trip to the Moon	US	\N	imdbDisplay	\N	0
tt0000417	Voyage to the Moon	US	\N	alternative	\N	0
tt0000423	The Enchanted Box	US	\N	imdbDisplay	\N	0
tt0000425	Showing Indians and Band Mounted	US	\N	alternative	\N	0
tt0000425	Buffalo Bill's Parade	US	\N	imdbDisplay	\N	0
tt0000426	Buffalo Bill's Street Parade	US	\N	imdbDisplay	\N	0
tt0000439	The Great Train Robbery	US	\N	imdbDisplay	\N	0
tt0000440	The Marvelous Wreath	US	\N	\N	literal English title	0
tt0000442	Capital Execution	US	\N	\N	\N	0
tt0000443	Hiawatha	US	\N	imdbDisplay	\N	0
tt0000446	Kit Carson	US	\N	imdbDisplay	\N	0
tt0000447	Life of an American Fireman	US	\N	imdbDisplay	\N	0
tt0000447	The Life of an American Fireman	US	\N	alternative	\N	0
tt0000452	The Messenger Boy's Mistake	US	\N	imdbDisplay	\N	0
tt0000455	The Music Lover	US	\N	\N	\N	0
tt0000456	New York City Fire Department	US	\N	alternative	\N	0
tt0000456	N.Y. Fire Department Returning	US	\N	imdbDisplay	\N	0
tt0000459	Panorama of Riker's Island, N.Y.	US	\N	imdbDisplay	\N	0
tt0000460	The Pioneers	US	\N	imdbDisplay	\N	0
tt0000464	Rip Van Winkle	US	\N	imdbDisplay	\N	0
tt0000465	The Kingdom of the Fairies	US	\N	imdbDisplay	\N	0
tt0000465	Fairyland: A Kingdom of Fairies	US	\N	\N	\N	0
tt0000465	The Fairyland	US	\N	\N	\N	0
tt0000471	Uncle Tom's Cabin	US	\N	imdbDisplay	\N	0
tt0000472	Uncle Tom's Cabin	US	\N	imdbDisplay	\N	0
tt0000475	Voyage of the 'Arctic'	US	\N	imdbDisplay	\N	0
tt0000475	Voyage of the 'Arctic', or How Captain Kettle Discovered the North Pole	US	\N	\N	\N	0
tt0000479	Rum vs. Cherries	US	\N	imdbDisplay	\N	0
tt0000486	The Great Sword Combat on the Stairs	US	\N	alternative	\N	0
tt0000486	A Gentleman of France	US	\N	imdbDisplay	\N	0
tt0000486	Monsieur Beaucaire: The Adventures of a Gentleman of France	US	\N	\N	copyright title	0
tt0000487	The Great Train Robbery	US	\N	imdbDisplay	\N	0
tt0000488	The Land Beyond the Sunset	US	\N	imdbDisplay	\N	0
tt0000491	The Opening of the Williamsburg Bridge	US	\N	alternative	\N	0
tt0000491	Opening the Williamsburg Bridge	US	\N	imdbDisplay	\N	0
tt0000492	Personal	US	\N	imdbDisplay	\N	0
tt0000493	Pierrot, Murderer	US	\N	\N	\N	0
tt0000495	The Pearl Fisher	US	\N	\N	\N	0
tt0000496	Railroad Smashup	US	\N	imdbDisplay	\N	0
tt0000500	The Abductors	US	\N	imdbDisplay	\N	0
tt0000501	Adventures of Sherlock Holmes	US	\N	imdbDisplay	\N	0
tt0000505	The Wig Chase	US	\N	\N	\N	0
tt0000507	Departure of Peary and the Roosevelt from New York	US	\N	imdbDisplay	\N	0
tt0000507	Departure of Peary for the North Pole	US	\N	alternative	\N	0
tt0000509	The Inexperienced Chauffeur	US	\N	\N	\N	0
tt0000512	Funeral of Hiram Cronk	US	\N	imdbDisplay	\N	0
tt0000516	The Electric Hotel	US	\N	\N	\N	0
tt0000519	The Kleptomaniac	US	\N	imdbDisplay	\N	0
tt0000521	The Little Train Robbery	US	\N	imdbDisplay	\N	0
tt0000522	Moonshiners	US	\N	alternative	\N	0
tt0000522	The Moonshiners	US	\N	imdbDisplay	\N	0
tt0000523	Moose Hunting in Newfoundland	US	\N	imdbDisplay	\N	0
tt0000524	In the N.Y. Subway	US	\N	alternative	\N	0
tt0000524	The Interboro Subway	US	\N	alternative	\N	0
tt0000524	New York Subway	US	\N	imdbDisplay	\N	0
tt0000526	Pennsylvania Tunnel Excavation	US	\N	imdbDisplay	\N	0
tt0000528	Raffles, the Amateur Cracksman	US	\N	imdbDisplay	\N	0
tt0000528	The Adventures of Raffles, the Amateur Cracksman	US	\N	alternative	\N	0
tt0000529	Reuben in the Opium Joint	US	\N	imdbDisplay	\N	0
tt0000533	The Wooing and Wedding of a Coon	US	\N	imdbDisplay	\N	0
tt0000535	The Anarchist's Mother-in-Law	US	\N	imdbDisplay	\N	0
tt0000537	Italian Immigrants at Ellis Island	US	\N	alternative	\N	0
tt0000537	Arrival of Immigrants, Ellis Island	US	\N	imdbDisplay	\N	0
tt0000545	Dream of a Racetrack Fiend	US	\N	imdbDisplay	\N	0
tt0000545	Dream of the Race Track Fiend	US	\N	working	\N	0
tt0000546	Dream of a Rarebit Fiend	US	\N	imdbDisplay	\N	0
tt0000553	The Haunted Hotel	US	\N	imdbDisplay	\N	0
tt0000554	Humorous Phases of Funny Faces	US	\N	imdbDisplay	\N	0
tt0000557	Kathleen Mavourneen	US	\N	imdbDisplay	\N	0
tt0000561	The Life of a Cowboy	US	\N	imdbDisplay	\N	0
tt0000564	A Modern Oliver Twist	US	\N	imdbDisplay	\N	0
tt0000565	The Night Before Christmas	US	\N	imdbDisplay	\N	0
tt0000565	Hanging Stockings on a Christmas Eve	US	\N	alternative	\N	0
tt0000567	The Merry Frolics of Satan	US	\N	\N	\N	0
tt0000567	The 400 Tricks of the Devil	US	\N	\N	\N	0
tt0000570	San Francisco Disaster	US	\N	imdbDisplay	\N	0
tt0000571	The San Francisco Earthquake	US	\N	imdbDisplay	\N	0
tt0000574	The Story of the Kelly Gang	US	\N	imdbDisplay	\N	0
tt0000575	20,000 Leagues Under the Sea	US	\N	\N	\N	0
tt0000576	Ali Baba and the Forty Thieves	US	\N	\N	\N	0
tt0000577	Angelo, Tyrant of Padua	US	\N	imdbDisplay	\N	0
tt0000579	The Bandit Makes Good	US	\N	imdbDisplay	\N	0
tt0000582	Ben Hur	US	\N	imdbDisplay	\N	0
tt0000583	The Lady with the Camellias	US	\N	imdbDisplay	\N	0
tt0000586	A Curious Dream	US	\N	imdbDisplay	\N	0
tt0000590	Dr. Skinum	US	\N	imdbDisplay	\N	0
tt0000591	The Prodigal Son	US	\N	\N	\N	0
tt0000594	The Flight from the Seraglio	US	\N	imdbDisplay	\N	0
tt0000595	From the Rococo Times	US	\N	imdbDisplay	\N	0
tt0000597	Wonderful Mirrors	US	\N	imdbDisplay	\N	0
tt0000597	The Magic Mirror	US	\N	imdbDisplay	\N	0
tt0000598	Hamlet, Prince of Denmark	US	\N	imdbDisplay	\N	0
tt0000599	Polar Bear Hunt	US	\N	imdbDisplay	\N	0
tt0000602	Lion Hunting	US	\N	imdbDisplay	\N	0
tt0000603	The Magic Fountain Pen	US	\N	imdbDisplay	\N	0
tt0000604	A Misalliance	US	\N	imdbDisplay	\N	0
tt0000606	Mr. Gay and Mrs.	US	\N	imdbDisplay	\N	0
tt0000609	Othello	US	\N	\N	\N	0
tt0000611	In the Sultan's Power	US	\N	imdbDisplay	\N	0
tt0000614	The Red Spectre	US	\N	\N	\N	0
tt0000614	Satan at Play	US	\N	\N	\N	0
tt0000617	The Robber's Sweetheart	US	\N	\N	\N	0
tt0000619	Stalking and Shooting Caribou in Newfoundland	US	\N	imdbDisplay	\N	0
tt0000619	A Caribou Hunt	US	\N	alternative	\N	0
tt0000620	The Will	US	\N	imdbDisplay	\N	0
tt0000623	The Magic Bag	US	\N	imdbDisplay	\N	0
tt0000624	The Ugly Duckling	US	\N	imdbDisplay	\N	0
tt0000626	Yale Laundry	US	\N	imdbDisplay	\N	0
tt0000627	Ostler Joe	US	\N	imdbDisplay	\N	0
tt0000628	The Adventures of Dollie	US	\N	imdbDisplay	\N	0
