titleId,ordering,title,region,language,types,attributes,isOriginalTitle
Moonshinerstt0000522,Moonshiners,US,\N,alternative,\N,0
The Moonshinerstt0000522,The Moonshiners,US,\N,imdbDisplay,\N,0
Moose Hunting in Newfoundlandtt0000523,Moose Hunting in Newfoundland,US,\N,imdbDisplay,\N,0
In the N.Y. Subwaytt0000524,In the N.Y. Subway,US,\N,alternative,\N,0
The Interboro Subwaytt0000524,The Interboro Subway,US,\N,alternative,\N,0
New York Subwaytt0000524,New York Subway,US,\N,imdbDisplay,\N,0
Pennsylvania Tunnel Excavationtt0000526,Pennsylvania Tunnel Excavation,US,\N,imdbDisplay,\N,0
Raffles the Amateur Cracksmantt0000528,Raffles the Amateur Cracksman,US,\N,imdbDisplay,\N,0
The Adventures of Raffles the Amateur Cracksmantt0000528,The Adventures of Raffles the Amateur Cracksman,US,\N,alternative,\N,0
Reuben in the Opium Jointtt0000529,Reuben in the Opium Joint,US,\N,imdbDisplay,\N,0
The Wooing and Wedding of a Coontt0000533,The Wooing and Wedding of a Coon,US,\N,imdbDisplay,\N,0
The Anarchist's Mother-in-Lawtt0000535,The Anarchist's Mother-in-Law,US,\N,imdbDisplay,\N,0
Italian Immigrants at Ellis Islandtt0000537,Italian Immigrants at Ellis Island,US,\N,alternative,\N,0
Arrival of Immigrants Ellis Islandtt0000537,Arrival of Immigrants Ellis Island,US,\N,imdbDisplay,\N,0
Dream of a Racetrack Fiendtt0000545,Dream of a Racetrack Fiend,US,\N,imdbDisplay,\N,0
Dream of the Race Track Fiendtt0000545,Dream of the Race Track Fiend,US,\N,working,\N,0
Dream of a Rarebit Fiendtt0000546,Dream of a Rarebit Fiend,US,\N,imdbDisplay,\N,0
The Haunted Hoteltt0000553,The Haunted Hotel,US,\N,imdbDisplay,\N,0
Humorous Phases of Funny Facestt0000554,Humorous Phases of Funny Faces,US,\N,imdbDisplay,\N,0
Kathleen Mavourneentt0000557,Kathleen Mavourneen,US,\N,imdbDisplay,\N,0
The Life of a Cowboytt0000561,The Life of a Cowboy,US,\N,imdbDisplay,\N,0
A Modern Oliver Twisttt0000564,A Modern Oliver Twist,US,\N,imdbDisplay,\N,0
The Night Before Christmastt0000565,The Night Before Christmas,US,\N,imdbDisplay,\N,0
Hanging Stockings on a Christmas Evett0000565,Hanging Stockings on a Christmas Eve,US,\N,alternative,\N,0
The Merry Frolics of Satantt0000567,The Merry Frolics of Satan,US,\N,\N,\N,0
The 400 Tricks of the Deviltt0000567,The 400 Tricks of the Devil,US,\N,\N,\N,0
San Francisco Disastertt0000570,San Francisco Disaster,US,\N,imdbDisplay,\N,0
The San Francisco Earthquakett0000571,The San Francisco Earthquake,US,\N,imdbDisplay,\N,0
The Story of the Kelly Gangtt0000574,The Story of the Kelly Gang,US,\N,imdbDisplay,\N,0
20000 Leagues Under the Seatt0000575,20000 Leagues Under the Sea,US,\N,\N,\N,0
Ali Baba and the Forty Thievestt0000576,Ali Baba and the Forty Thieves,US,\N,\N,\N,0
Angelo Tyrant of Paduatt0000577,Angelo Tyrant of Padua,US,\N,imdbDisplay,\N,0
The Bandit Makes Goodtt0000579,The Bandit Makes Good,US,\N,imdbDisplay,\N,0
Ben Hurtt0000582,Ben Hur,US,\N,imdbDisplay,\N,0
The Lady with the Camelliastt0000583,The Lady with the Camellias,US,\N,imdbDisplay,\N,0
A Curious Dreamtt0000586,A Curious Dream,US,\N,imdbDisplay,\N,0
Dr. Skinumtt0000590,Dr. Skinum,US,\N,imdbDisplay,\N,0
The Prodigal Sontt0000591,The Prodigal Son,US,\N,\N,\N,0
The Flight from the Seragliott0000594,The Flight from the Seraglio,US,\N,imdbDisplay,\N,0
From the Rococo Timestt0000595,From the Rococo Times,US,\N,imdbDisplay,\N,0
Wonderful Mirrorstt0000597,Wonderful Mirrors,US,\N,imdbDisplay,\N,0
The Magic Mirrortt0000597,The Magic Mirror,US,\N,imdbDisplay,\N,0
Hamlet Prince of Denmarktt0000598,Hamlet Prince of Denmark,US,\N,imdbDisplay,\N,0
Polar Bear Hunttt0000599,Polar Bear Hunt,US,\N,imdbDisplay,\N,0
Lion Huntingtt0000602,Lion Hunting,US,\N,imdbDisplay,\N,0
The Magic Fountain Pentt0000603,The Magic Fountain Pen,US,\N,imdbDisplay,\N,0
A Misalliancett0000604,A Misalliance,US,\N,imdbDisplay,\N,0
Mr. Gay and Mrs.tt0000606,Mr. Gay and Mrs.,US,\N,imdbDisplay,\N,0
Othellott0000609,Othello,US,\N,\N,\N,0
In the Sultan's Powertt0000611,In the Sultan's Power,US,\N,imdbDisplay,\N,0
The Red Spectrett0000614,The Red Spectre,US,\N,\N,\N,0
Satan at Playtt0000614,Satan at Play,US,\N,\N,\N,0
The Robber's Sweethearttt0000617,The Robber's Sweetheart,US,\N,\N,\N,0
Stalking and Shooting Caribou in Newfoundlandtt0000619,Stalking and Shooting Caribou in Newfoundland,US,\N,imdbDisplay,\N,0
A Caribou Hunttt0000619,A Caribou Hunt,US,\N,alternative,\N,0
The Willtt0000620,The Will,US,\N,imdbDisplay,\N,0
The Magic Bagtt0000623,The Magic Bag,US,\N,imdbDisplay,\N,0
The Ugly Ducklingtt0000624,The Ugly Duckling,US,\N,imdbDisplay,\N,0
Yale Laundrytt0000626,Yale Laundry,US,\N,imdbDisplay,\N,0
Ostler Joett0000627,Ostler Joe,US,\N,imdbDisplay,\N,0
The Adventures of Dolliett0000628,The Adventures of Dollie,US,\N,imdbDisplay,\N,0
After Many Yearstt0000629,After Many Years,US,\N,imdbDisplay,\N,0
Hamlettt0000630,Hamlet,US,\N,\N,\N,0
