titleId,ordering,title,regionclanguage,types,attributes,isOriginalTitle
tt0000475,3,Voyage of the 'Arctic' or How Captain Kettle Discovered the North Pole,USc\N,\N,\N,0
tt0000479,2,Rum vs. Cherries,USc\N,imdbDisplay,\N,0
tt0000486,1,The Great Sword Combat on the Stairs,USc\N,alternative,\N,0
tt0000486,3,A Gentleman of France,USc\N,imdbDisplay,\N,0
tt0000486,4,Monsieur Beaucaire: The Adventures of a Gentleman of France,USc\N,\N,copyright title,0
tt0000487,1,The Great Train Robbery,USc\N,imdbDisplay,\N,0
tt0000488,3,The Land Beyond the Sunset,USc\N,imdbDisplay,\N,0
tt0000491,2,The Opening of the Williamsburg Bridge,USc\N,alternative,\N,0
tt0000491,3,Opening the Williamsburg Bridge,USc\N,imdbDisplay,\N,0
tt0000492,4,Personal,USc\N,imdbDisplay,\N,0
tt0000493,3,Pierrot Murderer,USc\N,\N,\N,0
tt0000495,4,The Pearl Fisher,USc\N,\N,\N,0
tt0000496,1,Railroad Smashup,USc\N,imdbDisplay,\N,0
tt0000500,2,The Abductors,USc\N,imdbDisplay,\N,0
tt0000501,3,Adventures of Sherlock Holmes,USc\N,imdbDisplay,\N,0
tt0000505,6,The Wig Chase,USc\N,\N,\N,0
tt0000507,1,Departure of Peary and the Roosevelt from New York,USc\N,imdbDisplay,\N,0
tt0000507,4,Departure of Peary for the North Pole,USc\N,alternative,\N,0
tt0000509,2,The Inexperienced Chauffeur,USc\N,\N,\N,0
tt0000512,2,Funeral of Hiram Cronk,USc\N,imdbDisplay,\N,0
tt0000516,1,The Electric Hotel,USc\N,\N,\N,0
tt0000519,2,The Kleptomaniac,USc\N,imdbDisplay,\N,0
tt0000521,2,The Little Train Robbery,USc\N,imdbDisplay,\N,0
tt0000522,2,Moonshiners,USc\N,alternative,\N,0
tt0000522,3,The Moonshiners,USc\N,imdbDisplay,\N,0
tt0000523,1,Moose Hunting in Newfoundland,USc\N,imdbDisplay,\N,0
tt0000524,2,In the N.Y. Subway,USc\N,alternative,\N,0
tt0000524,3,The Interboro Subway,USc\N,alternative,\N,0
tt0000524,7,New York Subway,USc\N,imdbDisplay,\N,0
tt0000526,1,Pennsylvania Tunnel Excavation,USc\N,imdbDisplay,\N,0
tt0000528,1,Raffles the Amateur Cracksman,USc\N,imdbDisplay,\N,0
tt0000528,3,The Adventures of Raffles the Amateur Cracksman,USc\N,alternative,\N,0
tt0000529,2,Reuben in the Opium Joint,USc\N,imdbDisplay,\N,0
tt0000533,2,The Wooing and Wedding of a Coon,USc\N,imdbDisplay,\N,0
tt0000535,2,The Anarchist's Mother-in-Law,USc\N,imdbDisplay,\N,0
tt0000537,1,Italian Immigrants at Ellis Island,USc\N,alternative,\N,0
tt0000537,2,Arrival of Immigrants Ellis Island,USc\N,imdbDisplay,\N,0
tt0000545,2,Dream of a Racetrack Fiend,USc\N,imdbDisplay,\N,0
tt0000545,3,Dream of the Race Track Fiend,USc\N,working,\N,0
